SLR(1) PARSER OUTPUT -test/x.decaf
==========================================================================================

States: 246, Conflicts: 3

States                       Symbols                      Input              Action
---------------------------- ---------------------------- ------------------ --------------------
[0]                          ['$']                        void('void')       ('shift', 9)
[0, 9]                       ['$', 'void']                id('main')         ('shift', 22)
[0, 9, 22]                   ['$', 'void', 'id']          (('(')             ('shift', 29)
[0, 9, 22, 29]               ['$', 'void', 'id', '(']     )(')')             ('reduce', 21)
[81, 81, 81, 81, 83, 128]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'OrExpr', 'AssignTail'] ;(';')             ('reduce', 74)
[63, 81, 81, 81, 81, 99]     ['{', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Expr'] ;(';')             ('shift', 149)
[81, 81, 81, 81, 99, 149]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Expr', ';'] id('c')            ('reduce', 56)
[63, 81, 81, 81, 81, 78]     ['{', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'ExprStmt'] id('c')            ('reduce', 48)
[63, 81, 81, 81, 81, 81]     ['{', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt'] id('c')            ('shift', 84)
[81, 81, 81, 81, 81, 84]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'id'] =('=')             ('reduce', 110)
[81, 81, 81, 81, 84, 130]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'id', 'CallTail'] =('=')             ('reduce', 111)
[81, 81, 81, 81, 81, 92]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Primary'] =('=')             ('reduce', 108)
[81, 81, 81, 81, 92, 137]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Primary', 'PostTail'] =('=')             ('reduce', 105)
[81, 81, 81, 81, 81, 111]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'PostExpr'] =('=')             ('reduce', 104)
[81, 81, 81, 81, 81, 106]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'UnaryExpr'] =('=')             ('reduce', 101)
[81, 81, 81, 81, 106, 160]   ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'UnaryExpr', 'MulTail'] =('=')             ('reduce', 97)
[81, 81, 81, 81, 81, 105]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'MulExpr'] =('=')             ('reduce', 96)
[81, 81, 81, 81, 105, 156]   ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'MulExpr', 'AddTail'] =('=')             ('reduce', 93)
[81, 81, 81, 81, 81, 98]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'AddExpr'] =('=')             ('reduce', 92)
[81, 81, 81, 81, 98, 145]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'AddExpr', 'RelTail'] =('=')             ('reduce', 87)
[81, 81, 81, 81, 81, 100]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'RelExpr'] =('=')             ('reduce', 86)
[81, 81, 81, 81, 100, 151]   ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'RelExpr', 'EqTail'] =('=')             ('reduce', 83)
[81, 81, 81, 81, 81, 76]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'EqExpr'] =('=')             ('reduce', 82)
[81, 81, 81, 81, 76, 122]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'EqExpr', 'AndTail'] =('=')             ('reduce', 80)
[81, 81, 81, 81, 81, 89]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'AndExpr'] =('=')             ('reduce', 79)
[81, 81, 81, 81, 89, 134]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'AndExpr', 'OrTail'] =('=')             ('reduce', 77)
[81, 81, 81, 81, 81, 83]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'OrExpr'] =('=')             ('shift', 127)
[81, 81, 81, 81, 83, 127]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'OrExpr', '='] id('a')            ('shift', 131)
[81, 81, 81, 83, 127, 131]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'id'] +('+')             ('reduce', 110)
[81, 81, 83, 127, 131, 130]  ['Stmt', 'Stmt', 'OrExpr', '=', 'id', 'CallTail'] +('+')             ('reduce', 111)
[81, 81, 81, 83, 127, 92]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'Primary'] +('+')             ('reduce', 108)
[81, 81, 83, 127, 92, 137]   ['Stmt', 'Stmt', 'OrExpr', '=', 'Primary', 'PostTail'] +('+')             ('reduce', 105)
[81, 81, 81, 83, 127, 111]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'PostExpr'] +('+')             ('reduce', 104)
[81, 81, 81, 83, 127, 106]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'UnaryExpr'] +('+')             ('reduce', 101)
[81, 81, 83, 127, 106, 160]  ['Stmt', 'Stmt', 'OrExpr', '=', 'UnaryExpr', 'MulTail'] +('+')             ('reduce', 97)
[81, 81, 81, 83, 127, 105]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'MulExpr'] +('+')             ('shift', 154)
[81, 81, 83, 127, 105, 154]  ['Stmt', 'Stmt', 'OrExpr', '=', 'MulExpr', '+'] id('b')            ('shift', 131)
[81, 83, 127, 105, 154, 131] ['Stmt', 'OrExpr', '=', 'MulExpr', '+', 'id'] *('*')             ('reduce', 110)
[83, 127, 105, 154, 131, 130] ['OrExpr', '=', 'MulExpr', '+', 'id', 'CallTail'] *('*')             ('reduce', 111)
[81, 83, 127, 105, 154, 92]  ['Stmt', 'OrExpr', '=', 'MulExpr', '+', 'Primary'] *('*')             ('reduce', 108)
[83, 127, 105, 154, 92, 137] ['OrExpr', '=', 'MulExpr', '+', 'Primary', 'PostTail'] *('*')             ('reduce', 105)
[81, 83, 127, 105, 154, 111] ['Stmt', 'OrExpr', '=', 'MulExpr', '+', 'PostExpr'] *('*')             ('reduce', 104)
[81, 83, 127, 105, 154, 106] ['Stmt', 'OrExpr', '=', 'MulExpr', '+', 'UnaryExpr'] *('*')             ('shift', 158)
[83, 127, 105, 154, 106, 158] ['OrExpr', '=', 'MulExpr', '+', 'UnaryExpr', '*'] INT_CONST(2)       ('shift', 104)
[127, 105, 154, 106, 158, 104] ['=', 'MulExpr', '+', 'UnaryExpr', '*', 'INT_CONST'] ;(';')             ('reduce', 112)
[127, 105, 154, 106, 158, 92] ['=', 'MulExpr', '+', 'UnaryExpr', '*', 'Primary'] ;(';')             ('reduce', 108)
[105, 154, 106, 158, 92, 137] ['MulExpr', '+', 'UnaryExpr', '*', 'Primary', 'PostTail'] ;(';')             ('reduce', 105)
[127, 105, 154, 106, 158, 111] ['=', 'MulExpr', '+', 'UnaryExpr', '*', 'PostExpr'] ;(';')             ('reduce', 104)
[127, 105, 154, 106, 158, 196] ['=', 'MulExpr', '+', 'UnaryExpr', '*', 'UnaryExpr'] ;(';')             ('reduce', 101)
[105, 154, 106, 158, 196, 220] ['MulExpr', '+', 'UnaryExpr', '*', 'UnaryExpr', 'MulTail'] ;(';')             ('reduce', 98)
[83, 127, 105, 154, 106, 160] ['OrExpr', '=', 'MulExpr', '+', 'UnaryExpr', 'MulTail'] ;(';')             ('reduce', 97)
[81, 83, 127, 105, 154, 193] ['Stmt', 'OrExpr', '=', 'MulExpr', '+', 'MulExpr'] ;(';')             ('reduce', 96)
[83, 127, 105, 154, 193, 217] ['OrExpr', '=', 'MulExpr', '+', 'MulExpr', 'AddTail'] ;(';')             ('reduce', 94)
[81, 81, 83, 127, 105, 156]  ['Stmt', 'Stmt', 'OrExpr', '=', 'MulExpr', 'AddTail'] ;(';')             ('reduce', 93)
[81, 81, 81, 83, 127, 98]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'AddExpr'] ;(';')             ('reduce', 92)
[81, 81, 83, 127, 98, 145]   ['Stmt', 'Stmt', 'OrExpr', '=', 'AddExpr', 'RelTail'] ;(';')             ('reduce', 87)
[81, 81, 81, 83, 127, 100]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'RelExpr'] ;(';')             ('reduce', 86)
[81, 81, 83, 127, 100, 151]  ['Stmt', 'Stmt', 'OrExpr', '=', 'RelExpr', 'EqTail'] ;(';')             ('reduce', 83)
[81, 81, 81, 83, 127, 76]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'EqExpr'] ;(';')             ('reduce', 82)
[81, 81, 83, 127, 76, 122]   ['Stmt', 'Stmt', 'OrExpr', '=', 'EqExpr', 'AndTail'] ;(';')             ('reduce', 80)
[81, 81, 81, 83, 127, 89]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'AndExpr'] ;(';')             ('reduce', 79)
[81, 81, 83, 127, 89, 134]   ['Stmt', 'Stmt', 'OrExpr', '=', 'AndExpr', 'OrTail'] ;(';')             ('reduce', 77)
[81, 81, 81, 83, 127, 83]    ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'OrExpr'] ;(';')             ('reduce', 76)
[81, 81, 83, 127, 83, 128]   ['Stmt', 'Stmt', 'OrExpr', '=', 'OrExpr', 'AssignTail'] ;(';')             ('reduce', 74)
[81, 81, 81, 83, 127, 174]   ['Stmt', 'Stmt', 'Stmt', 'OrExpr', '=', 'Expr'] ;(';')             ('reduce', 75)
[81, 81, 81, 81, 83, 128]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'OrExpr', 'AssignTail'] ;(';')             ('reduce', 74)
[81, 81, 81, 81, 81, 99]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Expr'] ;(';')             ('shift', 149)
[81, 81, 81, 81, 99, 149]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Expr', ';'] Print('Print')     ('reduce', 56)
[81, 81, 81, 81, 81, 78]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'ExprStmt'] Print('Print')     ('reduce', 48)
[81, 81, 81, 81, 81, 81]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt'] Print('Print')     ('shift', 88)
[81, 81, 81, 81, 81, 88]     ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Stmt', 'Print'] (('(')             ('shift', 133)
[81, 81, 81, 81, 88, 133]    ['Stmt', 'Stmt', 'Stmt', 'Stmt', 'Print', '('] id('c')            ('shift', 131)
[81, 81, 81, 88, 133, 131]   ['Stmt', 'Stmt', 'Stmt', 'Print', '(', 'id'] )(')')             ('reduce', 110)
[81, 81, 88, 133, 131, 130]  ['Stmt', 'Stmt', 'Print', '(', 'id', 'CallTail'] )(')')             ('reduce', 111)
[81, 81, 81, 88, 133, 92]    ['Stmt', 'Stmt', 'Stmt', 'Print', '(', 'Primary'] )(')')             ('reduce', 108)
[81, 81, 88, 133, 92, 137]   ['Stmt', 'Stmt', 'Print', '(', 'Primary', 'PostTail'] )(')')             ('reduce', 105)
[81, 81, 81, 88, 133, 111]   ['Stmt', 'Stmt', 'Stmt', 'Print', '(', 'PostExpr'] )(')')             ('reduce', 104)
[81, 81, 81, 88, 133, 106]   ['Stmt', 'Stmt', 'Stmt', 'Print', '(', 'UnaryExpr'] )(')')             ('reduce', 101)
